Rank,TeamId,TeamName,LastSubmissionDate,Score,SubmissionCount,TeamMemberUserNames
74,12650940,"Doris Bai","2024-09-24 00:31:38",1.00000,3,dorisbai
75,12650944,"Jorden Lam","2024-09-24 00:32:41",1.00000,3,jordenlam
76,12650947,"FEIFEI LI","2024-09-24 00:33:47",1.00000,3,qqpanda
77,12650943,"IanZiyi Song","2024-09-24 00:35:39",1.00000,4,ianziyisong
78,12650953,"Naveen Kumar Damma","2024-09-24 00:34:35",1.00000,3,naveenkumardamma
79,12650981,"phoebe #4","2024-09-24 00:48:18",1.00000,3,xuanxiandu
80,12651069,MdmMainulIslam,"2024-09-24 01:10:35",1.00000,3,mdmmainulislam
81,12651150,"Mingrui Zhou 0501","2024-09-24 01:42:30",1.00000,3,mingruizhou0501
82,12651142,"Jiawen Tang24","2024-09-24 01:52:51",1.00000,3,jiawentang24
83,12651181,"Yue Liu 999","2024-09-24 01:52:38",1.00000,3,yueliu999
84,12651398,Fiii777,"2024-09-24 02:57:07",1.00000,3,fiii777
85,12651456,"Sai Prasanna Mucha","2024-09-24 03:17:26",1.00000,3,saiprasannamucha
86,12651451,"Nandini Priyanka","2024-09-24 03:21:48",1.00000,4,nandinipriyanka
87,12651514,tiffanyfang98,"2024-09-24 03:39:45",1.00000,3,tiffanyfang98
88,12651654,"Qingyang Xu","2024-09-24 04:29:39",1.00000,3,qingyang6xu
89,12651861,"Akshaya Moutam","2024-09-24 05:31:11",1.00000,3,akshayamoutam
90,12651978,"Zonglin Li","2024-09-24 06:01:25",1.00000,3,zli420
91,12652304,"Junquan Yu","2024-09-24 07:29:11",1.00000,4,junquanyu
92,12652718,"Abdul Hameed Shareef","2024-09-24 08:59:24",1.00000,3,abdulhameedshareef
93,12646519,pain_,"2024-09-24 09:02:53",1.00000,3,devarshraj
94,4355525,"Shashank Mouli","2024-09-24 11:28:00",1.00000,1,sierra022
95,11321102,"Diwakar Kashyap","2024-09-24 11:43:06",1.00000,3,diwakarkashyap
96,12654045,"Wanying Li","2024-09-24 14:22:56",1.00000,4,wanyingli999
97,12654461,"Ning Zheng","2024-09-24 15:59:35",1.00000,3,ningzheng99
98,12654833,"Chengyao Tang","2024-09-24 17:23:07",1.00000,3,chengyaotang
99,12654850,"Thi Diem Tran","2024-09-24 17:28:32",1.00000,3,thidiemtran
100,12654896,"Venkata Surendra Reddy Kakanuru","2024-09-24 17:44:58",1.00000,3,surendrakakanuru
101,12654938,"Sherry Ma_01","2024-09-24 17:55:20",1.00000,3,sherryma01
102,2258847,priya55612,"2024-09-24 18:03:57",1.00000,3,priya55612
103,12655077,bidachen,"2024-09-24 18:44:18",1.00000,3,bidachen
104,12650458,"Lu Ji 1990","2024-09-24 19:16:45",1.00000,4,luji1990
105,12655201,"Subin Singh","2024-09-24 19:25:10",1.00000,3,subinsingh
106,12617289,"Yasmin Amanulla","2024-09-24 19:41:49",1.00000,7,yasminamanulla
107,12655273,eliosmon,"2024-09-24 19:59:02",1.00000,3,eliosmon
108,12655296,"Guan-Hui Lai","2024-09-24 20:04:54",1.00000,3,guanhuilai
109,12655323,"Anna Dee","2024-09-24 20:13:01",1.00000,3,annadee
110,12655352,JoeyyyChai,"2024-09-24 20:28:31",1.00000,3,joeyyychai
111,12655402,"Gokulakrishnan Thanigaivelu","2024-09-24 20:48:19",1.00000,3,gokulthanigaivelu
112,12655572,"Tongzhou Li18","2024-09-24 22:06:36",1.00000,3,tongzhouli18
113,12655584,"Sumeet Shetiya","2024-09-24 22:07:02",1.00000,3,sumeetshetiya
114,12655635,"Harika Allam","2024-09-24 22:37:39",1.00000,3,harikaallam
115,12655835,"SriHarini Kanikireddy","2024-09-25 00:35:05",1.00000,3,sriharinikanikireddy
116,12655803,"Yunqi Liu","2024-09-25 00:53:38",1.00000,3,delilahliu
117,12655880,"Valentina Garcia Ovies","2024-09-25 01:01:49",1.00000,3,valentinagarciaovies
118,12655948,PavanGirish,"2024-09-25 01:34:21",1.00000,3,pavangirish
119,12655983,maxwu2024,"2024-09-25 01:46:13",1.00000,3,maxwu2024
120,12656005,"Yanfeng Cui","2024-09-25 01:54:21",1.00000,3,yanfengcui
121,12656149,"Liruo S","2024-09-25 02:31:29",1.00000,3,liruoshen
122,12656200,"Zhuoyuan Zhang","2024-09-25 02:50:06",1.00000,3,zzhuoyuan
123,12656299,"Ziyu Wu","2024-09-25 03:25:47",1.00000,3,ziyuwuuuu
124,12656361,"Akshay Manjunath","2024-09-25 03:39:07",1.00000,3,akshaykmanjunath
125,12656421,HZ4267,"2024-09-25 03:49:24",1.00000,3,hz4267
126,12656489,"Yin Xu","2024-09-25 04:14:13",1.00000,3,balderxyy
127,12656540,AnjaniAakarshP,"2024-09-25 04:30:54",1.00000,3,anjaniaakarshp
128,12656585,"Naveen Nannaka","2024-09-25 04:42:59",1.00000,3,naveennannaka
129,12656588,Khanafiyaahmed,"2024-09-25 04:43:33",1.00000,3,khanafiyaahmed
130,12656603,"Muhammed Omaar","2024-09-25 04:48:34",1.00000,3,muhammedomaar
131,12656605,"Afrah Arif","2024-09-25 04:48:52",1.00000,3,afraharif
132,12656606,"Pudota Dileep kumar ","2024-09-25 04:48:59",1.00000,3,pudotadileepkumar
133,12656617,"Rakshita Mansurabad","2024-09-25 04:52:07",1.00000,3,rakshitamansurabad
134,12656619,"Satya Gowtham Kotha","2024-09-25 04:53:06",1.00000,3,satyagowthamkotha
135,12656623,"Omer Nazim Al Farouqi","2024-09-25 04:53:37",1.00000,3,omernazimalfarouqi
136,12656622,"Avinash kataru","2024-09-25 04:53:36",1.00000,3,avinash1ayush
137,12656624,FLYzjw,"2024-09-25 04:53:46",1.00000,3,zhu19941128
138,12656627,"Sai Pranathi Vadlamudi","2024-09-25 04:54:53",1.00000,3,saipranathivadlamudi
139,12656633,"Fariha Begum","2024-09-25 04:59:35",1.00000,6,farihabegum
140,12656656,"Mohammed Amar","2024-09-25 05:05:14",1.00000,3,mohammedamar23100
141,12656664,"Fnu Salman Aslam","2024-09-25 05:07:32",1.00000,3,fnusalmanaslam
142,12656677,"Karthik Padiloju","2024-09-25 05:12:37",1.00000,3,karthikpadiloju
143,12656679,"Patel Krushang","2024-09-25 05:12:39",1.00000,3,patelkrushang
144,12656708,"Pooja Divyanshi","2024-09-25 05:18:53",1.00000,3,poojadivyanshi
145,12656725,"MOTUKURI MANIDHAR","2024-09-25 05:23:40",1.00000,3,motukurimanidhar
146,12656737,"Muzakeer Mohammad","2024-09-25 05:27:47",1.00000,3,muzakeermohammad
147,12656749,"Abhishek Choudhury","2024-09-25 05:31:06",1.00000,3,choudhuryabhishek
148,12656755,"Syed Quadir Mohiuddin","2024-09-25 05:32:45",1.00000,3,syedquadirmohiuddin
149,12656765,"Mubasheer Ali Khan ","2024-09-25 05:36:11",1.00000,3,mubasheeralikhan
150,12656798,"Anudeep Reddy Kasam ","2024-09-25 05:45:02",1.00000,3,anudeepreddykasam
151,12656810,sliu227,"2024-09-25 05:48:20",1.00000,3,sliu227
152,12656813,"Mohammed Salman Ahmed","2024-09-25 05:49:41",1.00000,3,salmanahmed363
153,12656869,"Nagarjuna vemula","2024-09-25 06:11:13",1.00000,3,nvemula23
154,12656886,"FNU Nahid Ahmed","2024-09-25 06:14:09",1.00000,3,fnunahidahmed
155,12656899,"Fnu Saif ali","2024-09-25 06:19:23",1.00000,3,fnusaifali
156,12656896,"Nasa rao Ponugoti ","2024-09-25 06:18:19",1.00000,3,nasaraoponugoti
157,12656936,SqZhouuu,"2024-09-25 06:26:48",1.00000,3,sqzhouuu
158,12656963,"Shalini Gadde","2024-09-25 06:31:57",1.00000,3,shalinigadde
159,12656989,"Siva Reddy Yaradoddi","2024-09-25 06:39:03",1.00000,3,sivareddyyaradoddi
160,12657009,"SRINIVASAREDDY GANJI","2024-09-25 06:42:34",1.00000,3,srinivasareddyganji
161,12657014,"Balamani Divya","2024-09-25 06:43:32",1.00000,3,balamanidivya
162,12657026,"SHAIK SUNEEJ BABU ","2024-09-25 06:47:43",1.00000,3,shaiksuneejbabu
163,12657056,"Vikasita Muttineni","2024-09-25 06:55:05",1.00000,3,vikasitamuttineni
164,12657127,"Zhiru He","2024-09-25 07:13:11",1.00000,4,zhiruhe
165,12658618,"Rebecca T Zegeye","2024-09-25 12:47:25",1.00000,3,rebeccatzegeye
166,12659120,"Sneha Sahu","2024-09-25 14:33:57",1.00000,3,snehasahu23
167,12659155,"Ravi Patel #3","2024-09-25 14:40:59",1.00000,3,ravipatel89
168,12659198,"Jia Wei Chi","2024-09-25 14:51:14",1.00000,3,jiaweichi
169,12659206,"Iqramul Laskar","2024-09-25 14:53:26",1.00000,3,iqramullaskar
170,1131974,aidway,"2024-10-07 14:58:38",1.00000,22,aidway
171,12659716,"Aarti Babasaheb Patil","2024-09-25 17:07:04",1.00000,3,aartibabasahebpatil
172,12659750,WeixiangWan,"2024-09-25 17:18:39",1.00000,3,weixiangwan
173,12659767,"Chaitanya Reddy Raju","2024-09-25 17:24:17",1.00000,3,chaitanyareddyraju
174,12659771,"NANDA GOPAL REDDY SEELAM","2024-09-25 17:24:47",1.00000,3,seelamnandagopal
175,12659801,XYZHANG14,"2024-09-25 17:33:03",1.00000,3,xyzhang14
176,12659826,"Akhila Thallapaneni","2024-09-25 17:39:39",1.00000,3,akhilathallapaneni
177,12659919,Salman04,"2024-09-25 18:05:40",1.00000,3,salman04
178,12659933,"Charan movva","2024-09-25 18:09:11",1.00000,3,charanmovva
179,12659947,"Rajesh Kumar Ankala","2024-09-25 18:15:03",1.00000,3,rajeshkumarankala
180,12660018,"Yashwanth Kankata","2024-09-25 18:41:30",1.00000,3,yashwanthkankata
181,12660035,"Fangzhou Lyu","2024-09-25 18:46:04",1.00000,3,fangzhoulyu
182,12660052,MeiYuan2024,"2024-09-25 18:50:39",1.00000,3,meiyuan2024
183,12660059,"Gadiparthi Aravind ","2024-09-25 18:53:23",1.00000,3,gadiparthiaravind
184,12660090,"Kriti Rudroj","2024-09-25 19:01:47",1.00000,3,kritirudroj
185,12660121,"Michelle Yang","2024-09-25 19:11:26",1.00000,3,caprimi
186,12660129,"Surendra Paritala","2024-09-25 19:14:27",1.00000,3,surendraparitala
187,12660135,"ys #2","2024-09-25 19:16:50",1.00000,4,yuehangsong
188,12660176,"Nida S","2024-09-25 19:32:32",1.00000,3,nidatrine
189,12660184,"Shaofeng Peng","2024-09-25 19:36:06",1.00000,3,pengshaofeng
190,12660199,"surbhi modi","2024-09-25 19:40:01",1.00000,3,surbhimodi
191,12660231,Saanjhi$harma,"2024-09-25 19:53:00",1.00000,3,saanjhiharma
192,12660391,"Shuwen Zhou","2024-09-25 21:05:20",1.00000,3,shuwenzhou11
193,12660429,"Jiazi Liang","2024-09-25 21:20:38",1.00000,3,liangjiazi
194,12660455,"Karthik Gandrath","2024-09-25 21:33:47",1.00000,3,karthikgandrath
195,12660441,"Jun Chu","2024-09-25 21:34:16",1.00000,4,junchu110
196,12660466,"Xinyue Wu","2024-09-25 21:44:19",1.00000,3,destineewu
197,12660484,"Nishant Pilinja","2024-09-25 21:52:29",1.00000,3,nishantpilinja
198,12660491,Yongma0099,"2024-09-25 21:56:08",1.00000,3,yongma0099
199,12660500,"Nawaz Khan Mohammed","2024-09-25 21:59:25",1.00000,3,nawazkhanmohammed
200,12660523,"Sriram Veeraraaghavan","2024-09-25 22:07:57",1.00000,3,sriram2196
201,12660556,"Yuuran Jin","2024-09-25 22:28:08",1.00000,3,yuuranjin
202,12660569,"Jin Liu #3","2024-09-25 22:35:18",1.00000,3,fufu23333
203,12660580,"Xiaoxuan Sun","2024-09-25 22:39:34",1.00000,4,xiaoxuansun0710
204,12660602,"Qiujun Dong","2024-09-25 22:50:13",1.00000,3,qiujundong
205,12660619,YiXTan,"2024-09-25 22:58:55",1.00000,3,yixtan
206,12660629,"Rahul Sai Samineni","2024-09-25 23:03:13",1.00000,3,rahulsaisaminenids
207,12660642,"Tharun Jagarlamudi","2024-09-25 23:10:39",1.00000,3,tharunjagarlamudi
208,12660652,"Vidyut Rao","2024-09-25 23:13:55",1.00000,3,vidyutrao
209,12660654,"Xin X","2024-09-25 23:14:05",1.00000,3,xinx1998
210,12660691,"Mohammed Nayeemuddin","2024-09-25 23:41:45",1.00000,3,mdnayeemuddinbd
211,12660704,"Xinda Liu","2024-09-25 23:54:09",1.00000,3,xindaliu0105
212,12660711,"Xiaofan Li","2024-09-25 23:57:57",1.00000,3,xiaofanli03
213,12660713,"Neha Saste","2024-09-26 00:00:22",1.00000,4,nehasaste
214,12660721,annihall,"2024-09-26 00:01:22",1.00000,3,annihall
215,12660726,"Wilfred Fu","2024-09-26 00:05:47",1.00000,3,wilfredfu
216,12660727,"Washington Mugo","2024-09-26 00:06:22",1.00000,3,washingtonmugo
217,12660756,"Vivekanandan Girikala","2024-09-26 00:23:47",1.00000,3,vivekanandangirikala
218,12660739,"Sivanagamani Pamudurthi","2024-09-26 00:27:46",1.00000,4,kevv0000
219,12660767,shuwenzheng0216,"2024-09-26 00:30:24",1.00000,3,shuwenzheng0216
220,12660776,"Khushboo Garg","2024-09-26 00:32:22",1.00000,3,khush91
221,12629697,"Matheus Poletto","2024-10-03 22:21:48",1.00000,33,matheuspoletto
222,12660792,"John Rubley","2024-09-26 00:56:43",1.00000,3,johnrubley
223,12660847,"Juned Ahmed","2024-09-26 01:04:42",1.00000,3,junedcmu123
224,12660863,"Harsha Pasam","2024-09-26 01:08:48",1.00000,3,harshapasam
225,12660888,"Akshita Gadiparthi","2024-09-26 01:20:54",1.00000,3,akshitagadiparthi
226,12660885,"Yimiao Luo","2024-09-26 01:20:43",1.00000,1,yimiaoluo2024
227,12660900,"Vineeth Reddy Mothe","2024-09-26 01:23:46",1.00000,3,vineethreddymothe
228,12660901,"Suvechha Tandan","2024-09-26 01:23:55",1.00000,3,suvechhatandan
229,12660904,"Rohan Ratwani","2024-09-26 01:25:39",1.00000,3,rratwani24
230,12660671,"Nikitha Chittepu","2024-09-26 01:26:56",1.00000,4,nikithachittepu
231,12660899,"Salwa Sultana","2024-09-26 01:30:31",1.00000,3,salwasultana
232,12660917,"Ishu Sundar","2024-09-26 01:30:57",1.00000,3,ishusundar
233,12660922," Sameer Basha Shaik","2024-09-26 01:33:43",1.00000,3,sameerbashashaikbd
234,12660959,halalc,"2024-09-26 01:43:54",1.00000,3,halalc
235,12660960,"Aseeb Ahmed Mohammed","2024-09-26 01:43:57",1.00000,3,aseebahmedmohammed
236,12660935,"Mateen Ahmed  FNU","2024-09-26 01:46:40",1.00000,4,mateenmsis
237,12660979,"Gaurav B Gupta","2024-09-26 01:52:09",1.00000,3,gauravbgupta
238,12660989,nachiketap,"2024-09-26 02:07:21",1.00000,4,nachiketapathak
239,12661006,"Willard Moebest","2024-09-26 01:57:04",1.00000,3,willardmoebest
240,12661024,"Chai Yen Hing","2024-09-26 02:03:27",1.00000,3,chaiyenhing
241,12661037,"Yiqing Zhou","2024-09-26 02:06:56",1.00000,3,yiqingzhou96
242,12661053,"Pranjal Sondkar","2024-09-26 02:12:14",1.00000,3,pranjalsondkar
243,12661040,"Jeevana Jyothi Reddem","2024-09-26 02:13:13",1.00000,4,jeevanajyothireddem
244,12661060,YVONNECHEN,"2024-09-26 02:14:13",1.00000,3,yvonne97
245,12661082,"Hao Li #6","2024-09-26 02:20:53",1.00000,3,lihaolh2015gmailcom
246,12661074,"Liu MingFeng","2024-09-26 02:27:26",1.00000,4,liumingfeng
247,12660228,Pawan36,"2024-09-26 03:29:46",1.00000,5,pawan36
248,12661107,"Quoc Nam Tran #2","2024-09-26 02:28:56",1.00000,3,quocnamtran
249,12661114,"Ella Sun","2024-09-26 02:31:19",1.00000,3,ellasun1414
250,12661120,"Madiha Roheen","2024-09-26 02:33:38",1.00000,3,roheenmadiha
251,12402507,"Harini Madduri #2","2024-09-26 02:33:50",1.00000,3,kavyasreeharini
252,12661124,"Shahbaaz mohammed","2024-09-26 02:36:42",1.00000,3,shahbaazmohammed
253,12661133,rtyw56,"2024-09-26 02:39:35",1.00000,3,rtyw56
254,12661140,"Pavankumar Reddy Kapa","2024-09-26 02:42:24",1.00000,3,pavankumarreddykapa
255,12661139,"Md Tamjid Alam Adnan","2024-09-26 02:43:04",1.00000,3,mdtamjidalamadnan
256,12661143,"Avishek Bhandari","2024-09-26 02:43:30",1.00000,3,bhandariavi1998
257,12661141,"Sudarshan Reddy C","2024-09-26 02:44:31",1.00000,3,sudarshanreddyc
258,12661144,"Jialing (Linda) Ma","2024-09-26 02:44:02",1.00000,3,jialinglindama
259,12661164,"Zhao Fu","2024-09-26 02:52:24",1.00000,3,julycity
260,12661167,"Varun Ashok Jadhav","2024-09-26 02:54:04",1.00000,3,varunashokjadhav
261,12661188,"Yuqi Li5213","2024-09-26 03:19:48",1.00000,4,yuqili5213
262,12661194,"Patnam Madhu","2024-09-26 03:01:07",1.00000,3,patnammadhu
263,12661225,"XIANGYIN LI","2024-09-26 03:13:49",1.00000,3,xiangyinli
264,12661232,"Benjamin Nanor","2024-09-26 03:17:55",1.00000,3,benjaminnanor
265,12661285,"Jayavardhan Patil","2024-09-26 03:36:04",1.00000,3,jayavardhanpatil
266,12661289,"Pablo Ripodas","2024-09-26 03:36:54",1.00000,3,pabloripodas
267,12661306,"Tao Tao #2","2024-09-26 03:44:44",1.00000,3,taotao777
268,12661315,"Tracy Wenbo Cao","2024-09-26 03:47:58",1.00000,3,tracywenbocao
269,12661336,AchintyaKumar20,"2024-09-26 03:55:04",1.00000,3,achintyakumar20
270,12661351,Cathy_wang0618,"2024-09-26 04:00:50",1.00000,3,cathywang0618
271,12661460,zhdeng,"2024-09-26 04:41:32",1.00000,3,zhdeng97
272,12661530,Liyu_ZZhang,"2024-09-26 05:02:11",1.00000,3,liyuzzhang
273,2036720,"mingrui Liu","2024-09-26 06:10:35",1.00000,3,mingrl
274,12663816,"Honghui Bao","2024-09-26 14:32:42",1.00000,3,bhh1996
275,12665537,AstroX,"2024-09-26 19:16:24",1.00000,1,miroslavbhm
276,12666220,"Amreen Unnisa Begum","2024-09-26 21:14:37",1.00000,3,amreenunnisabegum
277,12666388,"Shashwat Sharma #2","2024-09-26 21:55:57",1.00000,1,zshashz
278,12667001,Archanakumari.2001,"2024-09-27 00:45:15",1.00000,5,archanakumari2001
279,12667056,"Asiful Alam 2024","2024-09-27 00:59:36",1.00000,3,asifulalam2024
280,12667292,WeiJen,"2024-09-27 02:01:11",1.00000,3,weijenlee
281,12555449,"Manojkumar Rapelli","2024-09-27 11:18:48",1.00000,15,manojkumarrapelli
282,12671663,JiaqiWang2313,"2024-09-27 18:18:19",1.00000,3,jiaqiwang2313
283,12671775,"Ruby Tsao","2024-09-27 18:42:48",1.00000,3,rubytsao
284,12671877,"suprabhat reddy","2024-09-27 19:17:50",1.00000,4,suprabhatreddy
285,12672055,"Qi Xin","2024-09-27 20:33:45",1.00000,3,cheeshin
286,12674402,"joan kangiri","2024-09-28 09:05:41",1.00000,4,joankangiri
287,12674600,"Rahul Naradala","2024-09-28 10:05:22",1.00000,4,rahulnaradala
288,4490743,"Ivan #14","2024-09-28 12:41:01",1.00000,3,ivanblch
289,12667330,"Susmitha #2","2024-09-28 19:04:26",1.00000,3,fnususmitha
290,12676918,"Yaohui Lu","2024-09-28 22:15:17",1.00000,3,yal361
291,12677262,jqzhazha,"2024-09-29 02:31:23",1.00000,3,jqzhazha
292,12677309,"Jamie Jiang","2024-09-29 02:46:39",1.00000,3,sonejamie
293,12677505,"Qingzhou Ju","2024-09-29 04:19:52",1.00000,3,qingzhouju
294,12677534,"Yisi Liu","2024-09-29 04:34:42",1.00000,3,yisil2
295,12678490,"kamran view","2024-09-29 09:35:24",1.00000,1,kamranview
296,12678263,"vala khorasani","2024-09-29 10:12:00",1.00000,4,valakhorasani
297,12679354,"Duoming Bian","2024-09-29 14:05:30",1.00000,3,duomingbian
298,10894517,"Serhii Kharchuk","2024-09-29 17:36:27",1.00000,1,serhiikharchuk
299,12680420,"Fnu Sufiya Begum","2024-09-29 20:18:50",1.00000,3,fnusufiyabegum
300,12680500,Sakshi23,"2024-09-29 21:04:16",1.00000,3,sakshi2323
301,12680582,YijingTTan,"2024-09-29 21:50:17",1.00000,3,yijingttan
302,12680589,"Abhilash #9","2024-09-29 21:51:13",1.00000,3,abhilashn3
303,12680538,alexz705,"2024-09-29 22:03:13",1.00000,4,alexz705
304,12680757,"Kexin #2","2024-09-29 23:43:38",1.00000,3,lllkx9220
305,12680786,"Nijan Ranjit","2024-09-30 00:02:05",1.00000,3,nijanranjit
306,12680876,hslucy,"2024-09-30 00:41:43",1.00000,3,hslucy
307,12681042,"Emad Shehata","2024-09-30 01:44:42",1.00000,3,emadshehata
308,12681100,"Zeshi(Jesse) Yang","2024-09-30 02:04:13",1.00000,3,zeshijesseyang
309,12681155,"Yuxi Zhai","2024-09-30 02:24:17",1.00000,3,yuxizhai
310,12681415,"Nigel Alvaro Sadeli","2024-09-30 03:30:36",1.00000,3,nigelalvarosadeli
311,12681444,"Saadmann Shadab","2024-09-30 03:39:00",1.00000,3,saadmanndhrubo
312,12681443,hchen72,"2024-09-30 03:41:48",1.00000,3,hchen72
